Age,Gender,Marital_Status,Dependents,Education_Level,Employment_Type,Company_Type,Work_Experience_Years,Monthly_Income,Annual_Income,Existing_Loans,Existing_EMI,Credit_Score,Credit_History,Bank_Balance,Loan_Amount_Requested,Loan_Purpose,Loan_Term_Years,Interest_Rate,Loan_Status
22,Female,Single,0,High School,Salaried,Government,24,287107,1673740,1,29339,662,Good,1427014,874028,Personal,7,12.23,1
41,Female,Married,4,Post Graduate,Self Employed,Government,18,203873,3310268,4,34855,623,Good,1825386,2796859,Personal,26,12.54,0
22,Female,Single,5,High School,Self Employed,Private,1,169830,2761479,4,5442,735,Good,220713,777791,Education,1,10.0,0
47,Male,Single,5,High School,Salaried,Government,1,148314,1323631,2,35802,420,Good,4640361,1559805,Personal,16,7.02,0
29,Female,Married,5,High School,Self Employed,Business,6,130343,351097,1,35796,503,Good,1650409,2214780,Business,13,8.56,1
21,Male,Married,5,Post Graduate,Salaried,Private,30,240436,3451892,3,31524,486,Good,4611957,282871,Home,23,17.33,0
31,Female,Married,3,Post Graduate,Salaried,Private,32,206146,3485681,3,12642,383,Bad,4526870,2763475,Business,12,13.47,0
23,Female,Single,1,Graduate,Salaried,Business,10,227028,3379563,0,37178,605,Bad,1002451,1359863,Education,3,8.81,1
43,Male,Single,0,Post Graduate,Self Employed,Business,12,180852,2955674,0,1811,533,Good,2742710,750351,Education,16,9.06,1
46,Female,Single,3,Post Graduate,Self Employed,Government,9,80952,2213557,4,20926,306,Good,1700525,4639489,Personal,20,17.08,0
24,Female,Married,5,High School,Self Employed,Business,19,76006,533762,4,10952,817,Bad,4883096,250938,Home,3,9.36,1
38,Female,Single,0,Graduate,Self Employed,Private,20,212607,2663584,3,41122,510,Good,789350,3666037,Education,20,7.95,0
26,Male,Married,1,Graduate,Self Employed,Private,13,158335,1575451,1,20793,863,Good,520684,234699,Car,30,17.34,1
55,Female,Single,4,Post Graduate,Salaried,Business,23,293968,1505876,2,38776,565,Good,1997764,4592356,Home,28,9.68,1
42,Female,Married,3,Post Graduate,Self Employed,Government,6,170450,1118771,0,46650,320,Good,3745422,2782017,Education,16,16.57,1
35,Female,Single,1,High School,Self Employed,Private,4,99899,1593820,4,9076,553,Good,4764090,3557542,Education,8,15.59,0
42,Female,Single,0,Post Graduate,Self Employed,Government,5,65154,2897468,0,2708,877,Bad,549232,3480397,Business,13,10.62,1
57,Female,Married,2,Post Graduate,Salaried,Business,34,184131,1909948,3,34090,397,Good,2586743,1453088,Personal,5,17.75,0
32,Male,Single,3,Graduate,Salaried,Government,8,141849,3480597,1,15592,532,Good,2449163,4053306,Car,1,17.28,1
58,Male,Single,0,Post Graduate,Salaried,Private,0,165378,3520583,3,30506,757,Good,1179228,150866,Business,26,10.36,0
38,Female,Married,0,High School,Salaried,Business,19,296653,2447544,2,26839,400,Bad,1537510,4971276,Personal,15,9.45,1
55,Female,Single,1,Graduate,Self Employed,Private,5,192282,1633232,1,5478,451,Good,1430654,1091786,Home,16,7.56,1
50,Male,Married,0,Graduate,Salaried,Private,31,56052,787542,2,34944,792,Good,2856000,4485275,Car,30,17.13,1
44,Female,Married,3,Post Graduate,Self Employed,Business,12,85241,1871974,2,29822,837,Good,4142249,341464,Education,16,16.7,1
50,Female,Single,5,High School,Self Employed,Government,20,61303,2666830,1,16234,880,Good,3459889,1881854,Car,29,14.53,1
34,Female,Single,3,Graduate,Self Employed,Business,11,298197,2980365,2,25502,596,Good,2513386,101358,Home,3,17.07,1
26,Female,Single,0,High School,Salaried,Private,5,286069,2393176,0,2622,819,Good,4179765,485028,Education,27,10.17,1
23,Female,Married,1,High School,Self Employed,Private,14,84548,986831,4,26029,317,Good,2030470,1832055,Car,30,8.16,0
36,Female,Single,3,Post Graduate,Salaried,Private,20,289290,1717616,1,15805,474,Good,4514200,3476406,Business,28,15.59,1
27,Female,Married,2,High School,Salaried,Business,20,74933,2674991,3,47080,874,Good,3177805,4363392,Car,30,17.74,1
34,Female,Single,5,Graduate,Salaried,Business,27,25613,1768977,3,27691,703,Good,4392065,2251955,Education,26,9.8,0
29,Male,Single,4,Post Graduate,Salaried,Business,16,41600,940063,4,18605,325,Bad,2228684,3148356,Business,28,9.44,0
35,Male,Married,1,Graduate,Salaried,Business,6,133175,1105133,3,23100,413,Good,2776672,4949810,Business,26,17.34,0
41,Female,Single,1,High School,Salaried,Government,22,24962,822821,4,23691,521,Good,3078408,1257893,Business,20,14.92,0
55,Female,Single,4,High School,Salaried,Private,21,167541,609267,0,29922,400,Good,3985800,404309,Home,18,10.11,1
22,Female,Single,4,Post Graduate,Self Employed,Government,9,168496,2234804,3,36200,646,Bad,4453622,2241630,Car,13,13.17,0
47,Female,Single,3,Post Graduate,Salaried,Private,17,22291,1731086,3,36111,722,Good,2251813,753690,Home,13,12.25,0
22,Male,Single,0,Graduate,Self Employed,Private,1,174841,1874169,0,7572,322,Good,3584669,2482294,Personal,5,15.07,0
55,Male,Married,0,Graduate,Salaried,Government,11,189989,364960,3,31331,645,Good,2707931,3306286,Business,5,11.67,0
38,Male,Single,2,High School,Self Employed,Business,21,167836,2758726,3,47226,304,Good,3837596,4721100,Education,30,11.47,0
34,Male,Married,5,Post Graduate,Self Employed,Private,21,250154,2507839,0,41393,313,Good,1836080,3341395,Business,7,16.36,1
40,Female,Single,0,High School,Self Employed,Business,21,252831,2191316,0,26751,398,Good,728870,4672509,Education,9,14.78,1
38,Female,Single,2,High School,Self Employed,Government,5,21083,2712503,0,41143,555,Good,4785471,1495835,Personal,11,14.91,0
30,Female,Married,2,Graduate,Salaried,Private,19,278548,1607332,3,5583,728,Good,3835178,4207082,Car,21,9.99,1
45,Male,Single,1,Graduate,Self Employed,Business,5,235049,1914809,4,12972,751,Good,936670,4069632,Personal,29,12.01,1
22,Female,Single,1,Graduate,Salaried,Government,8,209386,2044296,4,353,833,Good,1443831,941828,Education,25,13.54,1
45,Female,Married,5,Post Graduate,Salaried,Private,28,174195,1464835,1,13463,412,Good,4847819,1168191,Home,27,9.85,1
53,Male,Married,3,Graduate,Salaried,Government,4,111561,2992478,1,2933,844,Good,4640913,645442,Business,4,17.92,1
56,Male,Single,4,Post Graduate,Self Employed,Business,12,132299,1573830,3,45708,627,Good,4466234,2322740,Education,3,11.93,0
51,Male,Married,4,High School,Salaried,Private,26,39602,3536446,3,5425,729,Good,543214,4677062,Home,2,11.06,0
34,Male,Married,5,Post Graduate,Self Employed,Private,22,167449,2418151,4,45490,500,Good,2237856,1937765,Personal,28,16.37,0
21,Male,Married,2,Graduate,Salaried,Private,33,87342,1696374,2,9219,407,Good,4880356,3998248,Education,7,9.72,1
36,Female,Married,5,Post Graduate,Self Employed,Government,24,229622,477374,1,30428,711,Good,2839348,1676485,Personal,12,15.83,1
23,Female,Single,4,Post Graduate,Salaried,Government,22,211060,546236,4,14205,428,Good,4006917,1820783,Business,26,17.37,0
55,Male,Single,2,Graduate,Self Employed,Government,27,215588,2917155,3,20116,442,Good,536341,3991964,Business,13,14.92,0
26,Female,Married,4,Graduate,Self Employed,Government,25,245566,785031,1,41889,700,Bad,3603231,2635908,Home,19,12.48,1
45,Female,Single,3,High School,Salaried,Business,11,99771,1764313,1,21576,759,Bad,2891183,2815725,Home,10,8.36,1
33,Female,Married,1,Post Graduate,Salaried,Government,2,203182,956570,1,23448,610,Good,36821,4418540,Business,11,14.71,0
54,Female,Single,1,High School,Self Employed,Government,8,273090,655215,3,26728,418,Good,4903909,2752176,Car,30,16.18,0
28,Male,Single,2,High School,Self Employed,Government,14,226801,2384153,4,11604,520,Good,3524874,4950155,Business,4,11.56,0
41,Female,Married,5,Post Graduate,Self Employed,Business,7,61841,3190188,2,8323,313,Good,3719642,4000622,Education,4,15.42,1
54,Female,Married,4,High School,Self Employed,Business,27,227447,2621737,3,43327,888,Good,4803702,4134893,Personal,5,12.94,1
24,Female,Single,0,Post Graduate,Self Employed,Private,25,201220,2669197,1,33615,416,Bad,2367191,70045,Business,30,15.54,1
45,Male,Single,3,High School,Self Employed,Government,15,109864,2071379,0,14360,355,Good,3679713,1444326,Education,29,9.95,1
35,Female,Single,4,High School,Salaried,Private,33,54308,1831145,4,19879,424,Good,153738,4314419,Education,10,7.06,0
24,Male,Married,0,Post Graduate,Salaried,Private,19,222854,3526508,3,37382,324,Good,1176294,413687,Education,11,17.96,0
32,Male,Single,3,Graduate,Self Employed,Business,0,47393,2040155,1,26493,707,Good,313423,3715132,Personal,30,8.84,0
52,Male,Married,3,Post Graduate,Salaried,Business,23,54963,1090503,2,10924,392,Good,1993942,4313912,Education,13,16.67,1
52,Male,Married,1,Graduate,Self Employed,Private,28,183348,3300275,1,13828,457,Good,975861,1536327,Personal,24,7.98,1
48,Female,Married,2,Post Graduate,Salaried,Private,3,162321,261172,1,36647,518,Good,3785341,4130269,Home,11,14.18,1
33,Male,Single,4,Post Graduate,Self Employed,Government,3,225999,1800052,3,28948,818,Bad,1977803,4069140,Home,9,7.62,1
51,Male,Married,3,Graduate,Self Employed,Business,2,77311,3230028,2,31393,440,Bad,585054,3292312,Business,10,14.38,0
34,Male,Single,4,Graduate,Salaried,Business,1,274859,2248623,0,2138,833,Good,4987062,2154504,Personal,23,8.17,1
40,Male,Married,3,Post Graduate,Salaried,Private,28,93955,3376973,3,3835,697,Good,4103095,833820,Home,24,13.65,1
38,Male,Single,5,Post Graduate,Salaried,Business,27,164420,1230128,4,47164,832,Good,2960013,3465727,Education,30,10.98,1
49,Female,Single,1,Post Graduate,Self Employed,Private,11,268797,2843842,2,28361,829,Good,2698575,949541,Home,11,12.78,1
26,Male,Married,2,Graduate,Salaried,Private,14,89809,3330568,0,49486,347,Good,4493946,3576945,Car,13,7.55,1
52,Female,Married,0,Post Graduate,Self Employed,Business,30,199381,2384870,0,14966,392,Good,4030330,1701940,Education,7,10.89,1
49,Female,Single,0,Graduate,Salaried,Government,31,65677,571850,2,29294,325,Bad,4112334,4205876,Personal,21,15.58,1
22,Male,Single,5,High School,Salaried,Business,21,75691,3095895,4,48332,338,Good,3240004,2771419,Car,16,15.53,0
43,Female,Married,1,Graduate,Salaried,Private,2,74850,2170154,1,33984,464,Good,2238728,2374548,Home,22,14.27,0
39,Female,Married,3,High School,Self Employed,Private,16,297412,2748557,3,27208,747,Bad,3112062,2708349,Personal,11,17.45,1
51,Female,Single,1,Post Graduate,Self Employed,Government,28,259875,1955183,4,4774,792,Good,3395514,1947243,Home,24,14.29,1
25,Male,Single,2,Post Graduate,Salaried,Private,11,102190,993575,0,19783,745,Good,2135362,2944456,Education,12,10.8,1
39,Male,Married,0,Graduate,Self Employed,Government,13,180155,1141046,4,26413,783,Good,4054174,1108826,Home,23,14.43,1
54,Male,Single,4,High School,Self Employed,Business,7,158276,1268922,1,6421,700,Bad,1467314,4081158,Home,1,10.92,1
30,Male,Married,0,Post Graduate,Salaried,Government,1,117914,2410158,4,41893,839,Good,4591572,726516,Personal,26,13.65,0
45,Male,Married,2,Post Graduate,Salaried,Private,33,174847,2987759,4,47917,515,Bad,1984930,584806,Business,19,14.36,0
22,Male,Married,3,High School,Salaried,Private,23,94321,1592609,0,46595,330,Good,2525053,1698483,Education,7,12.01,1
31,Male,Married,1,Post Graduate,Salaried,Government,19,221805,2609918,4,43028,796,Bad,4969039,3133558,Home,21,17.82,1
51,Female,Single,0,Post Graduate,Self Employed,Business,9,148806,1666303,3,3023,555,Good,3560430,2163750,Personal,15,8.09,0
35,Female,Married,0,Graduate,Salaried,Government,6,52281,991779,2,28717,483,Good,1971465,4091292,Education,10,12.58,1
29,Male,Married,4,Post Graduate,Self Employed,Private,0,110419,2045344,0,18520,712,Bad,4859883,457510,Business,16,16.85,1
43,Female,Single,1,High School,Salaried,Business,9,204901,2633446,2,22800,440,Good,3156601,658824,Car,27,11.84,1
39,Male,Single,4,Post Graduate,Salaried,Government,4,249935,1467966,4,46175,670,Good,4263886,2872477,Education,29,13.74,1
29,Male,Married,4,Graduate,Salaried,Government,20,24008,1390993,1,27713,728,Bad,1556987,3578206,Car,22,11.52,1
55,Male,Married,3,Post Graduate,Salaried,Government,8,54163,349973,0,21376,884,Bad,2338191,3070152,Car,9,17.52,1
41,Female,Married,0,High School,Salaried,Private,28,129952,2566744,4,31470,714,Good,4622195,2645196,Education,30,17.74,1
29,Male,Married,5,Post Graduate,Salaried,Private,30,188212,2154884,4,1992,770,Good,610765,2059158,Personal,3,9.07,1
48,Male,Married,1,High School,Self Employed,Private,26,270317,3452575,1,13804,544,Good,3125613,2139253,Business,16,17.27,1
27,Male,Married,3,Graduate,Self Employed,Business,5,59533,332531,4,41177,858,Good,2547630,4330048,Car,3,12.65,1
36,Male,Single,5,Post Graduate,Self Employed,Business,30,166503,2707504,3,3504,435,Good,922992,3594925,Personal,2,13.31,0
36,Female,Single,3,Post Graduate,Self Employed,Business,1,263726,1963299,1,46370,491,Good,722431,193259,Home,2,17.38,0
53,Male,Married,3,Graduate,Self Employed,Private,20,299567,1206216,0,35899,605,Good,3925016,2254482,Business,5,15.1,1
24,Female,Single,2,High School,Self Employed,Business,33,292476,3482253,0,31605,446,Good,4923893,2538896,Education,12,13.93,1
24,Female,Single,2,High School,Self Employed,Business,21,277924,1603775,2,22952,342,Good,107638,1523794,Education,25,16.66,1
59,Male,Married,3,Post Graduate,Salaried,Government,12,247166,341996,3,7368,664,Good,4422382,1063475,Home,21,14.24,1
60,Male,Single,2,High School,Self Employed,Private,18,45233,971951,3,37459,634,Good,4254693,3976605,Business,14,7.84,0
37,Female,Single,1,High School,Salaried,Government,32,272398,2868403,0,46000,899,Good,2511300,181221,Car,6,14.66,1
57,Female,Married,0,Post Graduate,Self Employed,Private,2,116281,2433516,4,27161,480,Good,4169898,4032683,Home,21,17.37,0
59,Female,Married,5,High School,Self Employed,Private,18,215215,1805320,3,22089,474,Bad,3136471,573780,Business,18,12.85,0
49,Female,Married,1,High School,Salaried,Business,6,148958,3530068,3,20457,356,Good,3274293,1504932,Education,29,12.93,0
56,Male,Single,0,Post Graduate,Salaried,Government,14,107116,3073259,4,1283,564,Good,97978,3043750,Car,23,10.06,0
58,Female,Married,2,Post Graduate,Salaried,Government,24,262015,2307593,1,49510,838,Good,3983420,2779794,Education,7,13.19,1
59,Female,Single,5,High School,Salaried,Business,21,46613,1894364,4,14600,742,Good,934149,727384,Car,7,17.32,0
57,Female,Married,1,Post Graduate,Salaried,Government,22,217530,1101665,2,16452,472,Good,4946173,698072,Business,24,10.12,1
55,Female,Married,4,High School,Self Employed,Government,9,85456,543829,2,18409,305,Good,1059641,3169769,Home,6,17.65,1
27,Male,Married,3,High School,Salaried,Private,6,183962,1878468,0,40968,850,Bad,4015164,4736218,Car,25,14.8,1
47,Male,Married,0,High School,Salaried,Government,24,131917,2045066,1,17959,315,Good,4261426,2854383,Business,19,9.4,1
48,Male,Single,0,High School,Salaried,Government,23,172583,292921,3,21698,524,Good,2226119,3260230,Home,20,14.75,0
42,Female,Single,4,Post Graduate,Self Employed,Private,4,66679,3178199,0,8984,381,Good,4223254,3470306,Education,20,11.66,1
34,Female,Married,4,Post Graduate,Salaried,Business,20,217673,2137633,0,8498,556,Good,1584593,2354732,Personal,19,13.45,1
27,Male,Single,3,Graduate,Salaried,Private,19,234666,1452852,3,20344,440,Good,633878,2522374,Business,26,16.47,0
57,Male,Married,2,Post Graduate,Salaried,Business,28,108755,421031,3,16529,831,Good,248084,2881942,Home,30,9.37,1
42,Female,Married,1,Graduate,Self Employed,Business,19,136425,1212479,4,3565,401,Good,961290,4713309,Business,23,11.93,0
25,Male,Single,1,High School,Salaried,Private,17,239356,1188083,2,16826,381,Good,2017615,1819488,Business,24,11.82,1
22,Female,Single,1,Post Graduate,Self Employed,Private,3,184791,3207177,3,36694,848,Good,576322,4535862,Personal,16,14.59,1
47,Female,Married,2,High School,Self Employed,Business,10,143239,3516057,4,15546,801,Good,3855107,4595675,Personal,29,7.75,1
41,Female,Married,3,Graduate,Salaried,Private,21,93157,453546,2,48801,763,Good,4343230,2479368,Personal,20,9.05,1
58,Female,Married,1,Post Graduate,Self Employed,Private,13,234857,3000619,1,24884,761,Good,4012087,3637802,Personal,2,11.85,1
35,Female,Single,0,Post Graduate,Self Employed,Government,27,76347,3269318,1,45537,687,Good,3859287,4043736,Education,21,12.99,1
41,Female,Married,0,Post Graduate,Self Employed,Private,3,39122,2026479,1,38295,364,Good,3241446,2397660,Personal,4,7.48,0
30,Male,Married,0,Post Graduate,Self Employed,Private,15,164867,2623288,3,38460,611,Good,550405,1933586,Personal,12,11.88,0
43,Male,Married,4,High School,Self Employed,Government,22,147073,3270386,2,40687,499,Bad,4745451,3754783,Home,11,13.83,1
59,Male,Married,4,Post Graduate,Self Employed,Business,12,172883,352047,2,22072,646,Good,3117864,1831109,Car,18,8.49,1
25,Female,Married,2,Graduate,Salaried,Business,19,294731,718573,1,44737,677,Good,1288456,2270886,Home,9,11.86,1
21,Male,Married,1,Post Graduate,Self Employed,Private,4,58787,2065004,0,46412,649,Good,1070000,410102,Education,28,15.13,1
33,Female,Single,4,Graduate,Self Employed,Private,18,233551,309052,2,23955,703,Good,1803566,2834930,Education,21,7.99,1
41,Female,Married,0,Graduate,Salaried,Business,20,166785,2923586,2,21062,689,Good,3605449,2821214,Personal,2,13.82,1
46,Female,Married,4,High School,Self Employed,Private,4,28975,1260716,4,20424,820,Good,2319533,2804351,Personal,15,11.22,0
41,Female,Single,0,Post Graduate,Salaried,Business,13,26958,260156,1,35186,354,Good,4991521,1050463,Business,22,11.96,0
38,Male,Single,1,Graduate,Salaried,Business,5,111978,1285702,0,19105,331,Good,3350856,3180883,Business,22,10.96,1
57,Male,Married,2,Post Graduate,Self Employed,Government,4,229422,3593854,4,12341,829,Good,3508264,709578,Home,16,7.93,1
52,Male,Single,3,High School,Self Employed,Government,23,26647,3356866,0,576,490,Bad,296909,2471362,Home,6,13.58,0
56,Female,Married,3,High School,Self Employed,Private,28,99031,3243109,0,25844,652,Good,4845584,458023,Education,12,11.67,1
37,Male,Single,0,Post Graduate,Salaried,Private,28,224687,2706076,0,199,432,Bad,1988702,4251265,Business,6,16.24,1
55,Male,Single,4,Graduate,Self Employed,Business,1,296120,2549310,3,32552,611,Good,3715165,1728430,Business,30,15.06,0
31,Male,Married,4,High School,Salaried,Private,5,166751,1286552,2,25984,439,Good,1581110,1429966,Personal,17,13.38,1
41,Female,Single,0,Graduate,Self Employed,Government,33,229499,2119811,2,43672,748,Good,1614105,1226670,Car,17,9.61,1
46,Male,Married,1,Graduate,Self Employed,Business,11,204874,1518382,4,36592,497,Good,2455816,3722243,Education,20,12.34,0
24,Female,Single,0,Post Graduate,Self Employed,Business,21,245761,3438532,0,21043,508,Good,4577946,1480860,Business,27,15.55,1
54,Male,Married,1,High School,Salaried,Private,3,70095,1050046,0,20304,691,Bad,4467396,1900506,Business,6,8.29,1
38,Female,Single,2,Post Graduate,Salaried,Business,5,291427,600197,2,36087,782,Bad,170511,4918270,Car,4,8.31,1
60,Male,Married,2,Post Graduate,Self Employed,Business,2,228141,1161426,0,37958,762,Good,3234335,3177243,Personal,4,9.41,1
55,Male,Married,0,Post Graduate,Salaried,Business,12,220590,1105809,0,37519,391,Good,4581137,4041245,Home,23,16.75,1
49,Male,Married,2,Graduate,Self Employed,Government,22,181484,3498739,0,9945,643,Good,1014255,843535,Home,22,12.6,1
49,Female,Married,4,Post Graduate,Salaried,Business,34,54448,2797285,1,31044,389,Good,1617972,1310631,Personal,29,17.74,1
58,Male,Single,1,High School,Salaried,Government,25,56787,782243,1,8196,371,Bad,3536803,4156793,Personal,21,16.74,1
41,Male,Married,3,Graduate,Self Employed,Business,8,78759,1587159,1,19950,654,Bad,4884641,4529421,Car,19,9.54,1
33,Female,Single,3,Post Graduate,Self Employed,Private,22,270369,1311800,4,948,379,Good,3609983,1007951,Car,24,17.84,0
37,Female,Single,2,High School,Salaried,Private,3,190614,3210781,0,9210,882,Bad,3789237,4153970,Personal,5,12.39,1
29,Female,Married,1,Post Graduate,Salaried,Business,33,156388,1319031,1,38127,828,Bad,3244800,1501602,Education,4,16.57,1
21,Female,Married,4,Post Graduate,Salaried,Private,7,41858,3409165,1,31633,862,Bad,3554627,4243269,Education,3,12.23,1
22,Male,Single,3,Post Graduate,Self Employed,Government,33,127626,1144998,3,30482,738,Good,4883361,969548,Education,24,17.41,1
49,Male,Single,4,Graduate,Self Employed,Business,5,76527,711937,4,10138,398,Good,63113,2804231,Education,5,15.18,0
53,Female,Single,4,Post Graduate,Salaried,Government,6,225428,1238777,1,9712,619,Good,2322038,993045,Car,13,12.81,1
30,Male,Married,3,High School,Self Employed,Business,4,190915,2745273,1,1438,882,Good,3393325,2057018,Business,12,14.7,1
60,Female,Married,3,Post Graduate,Salaried,Government,2,188077,3425875,1,36799,862,Good,3107770,433741,Personal,23,9.49,1
41,Male,Single,2,Post Graduate,Self Employed,Private,16,265442,1208035,3,6036,317,Good,3715373,3547219,Business,27,16.4,0
48,Female,Single,1,Graduate,Self Employed,Government,18,162429,1328883,3,17421,508,Good,4115936,2038899,Home,24,10.0,0
31,Male,Single,0,Post Graduate,Salaried,Government,0,110816,2108502,4,38095,459,Good,2733563,3271160,Home,29,13.53,0
54,Female,Married,1,High School,Self Employed,Private,8,100159,2543265,0,49153,374,Good,2283887,1472551,Education,16,17.9,1
28,Female,Single,0,High School,Salaried,Private,3,60627,1717076,0,45457,375,Bad,2151431,150213,Education,18,7.58,1
42,Male,Single,3,Post Graduate,Self Employed,Business,9,276266,716540,4,8721,614,Bad,2908163,4177347,Car,4,8.9,0
28,Male,Single,4,High School,Salaried,Business,31,296377,857965,0,48077,511,Good,2295115,3576241,Business,8,14.56,1
35,Male,Single,1,High School,Self Employed,Government,0,166334,1218055,2,4857,622,Bad,654814,4360857,Home,2,14.0,0
37,Female,Married,4,Post Graduate,Self Employed,Business,22,21555,1472682,0,18513,586,Good,336779,2555757,Education,25,14.97,0
43,Male,Single,1,High School,Self Employed,Government,16,198003,1269438,3,21272,560,Bad,173141,3506175,Business,29,7.21,0
44,Female,Married,5,High School,Salaried,Business,29,210632,1313918,3,3554,895,Bad,843063,4100128,Car,24,14.51,1
39,Male,Married,1,Post Graduate,Salaried,Private,26,106001,1542898,1,32134,662,Good,4695185,334916,Education,26,17.35,1
25,Male,Single,4,Graduate,Self Employed,Private,14,91355,2155069,3,9701,547,Good,2365422,4827841,Education,25,11.41,0
52,Female,Married,5,Graduate,Self Employed,Private,6,142502,3501277,2,45624,483,Good,1071804,3394941,Business,20,12.39,1
21,Female,Single,2,Post Graduate,Salaried,Private,32,124029,2704878,2,13771,438,Good,434069,203148,Education,24,14.7,1
43,Male,Single,3,Graduate,Salaried,Government,4,271445,2578579,2,18229,468,Good,660305,444357,Education,2,16.69,1
57,Female,Single,2,Graduate,Self Employed,Private,33,178654,1395667,1,28175,586,Good,3238733,317352,Business,11,15.29,1
28,Female,Single,2,Graduate,Self Employed,Private,2,203889,1369430,0,3475,618,Good,1915609,1582703,Car,4,17.58,0
33,Male,Single,1,Graduate,Salaried,Private,31,232614,2141357,1,34948,387,Good,1146089,4216558,Car,28,15.13,1
28,Female,Married,3,Post Graduate,Salaried,Private,1,198686,630998,3,6046,807,Bad,940611,436947,Personal,7,10.15,0
43,Male,Married,5,Graduate,Salaried,Business,15,211813,2106301,2,2839,698,Good,3476980,2206165,Home,14,16.85,1
21,Male,Single,1,Graduate,Self Employed,Government,16,266559,2265854,1,1258,685,Good,4387766,3907125,Business,23,12.59,1
44,Female,Married,0,Post Graduate,Self Employed,Government,11,143642,3318793,1,47231,584,Good,2141819,4232777,Education,11,17.1,1
55,Male,Single,1,Post Graduate,Salaried,Business,4,276267,2461991,2,48190,596,Good,1602197,1214640,Education,22,7.72,1
44,Female,Married,5,Graduate,Salaried,Business,3,140612,3559940,4,36524,340,Good,1598436,4875032,Education,28,14.12,0
37,Male,Married,4,High School,Self Employed,Government,15,49677,984287,2,41387,550,Bad,1081575,3204563,Home,6,7.15,0
25,Female,Single,1,Post Graduate,Self Employed,Government,17,49834,810001,4,16727,438,Good,4824990,3272478,Home,1,8.65,0
40,Female,Married,0,Post Graduate,Self Employed,Business,19,174860,3360956,2,25724,547,Good,3765755,3501251,Car,5,10.33,1
41,Female,Married,1,Graduate,Self Employed,Private,8,175913,2780984,0,40015,681,Good,3984137,2191799,Business,12,15.13,1
60,Female,Married,5,High School,Salaried,Government,15,227017,3524056,4,3694,398,Bad,892081,2195230,Car,18,11.61,0
51,Female,Single,0,Post Graduate,Self Employed,Business,34,195341,2999422,4,36006,764,Good,2388955,4733955,Home,4,11.87,1
56,Male,Married,3,Post Graduate,Self Employed,Private,28,224531,1385040,1,45851,431,Good,4929279,4100335,Business,11,10.25,1
31,Male,Married,5,Post Graduate,Self Employed,Private,29,241007,947844,4,11643,330,Bad,718637,1576968,Business,26,16.28,0
35,Female,Married,1,High School,Salaried,Business,19,216427,1389282,3,2682,744,Good,3114268,1816863,Car,27,17.6,1
39,Male,Married,0,Post Graduate,Salaried,Government,21,185814,808570,1,14084,752,Good,3596587,1392720,Personal,28,17.82,1
27,Female,Married,5,Post Graduate,Salaried,Government,22,147063,1259412,1,13004,831,Good,1558741,966623,Personal,15,12.74,1
48,Female,Married,3,High School,Self Employed,Private,21,92643,3044323,0,37902,756,Good,1516921,3751283,Home,7,7.49,1
25,Male,Married,4,Post Graduate,Self Employed,Business,0,204553,289476,1,13416,544,Good,3311313,2158488,Personal,1,8.08,0
25,Male,Married,2,High School,Self Employed,Private,20,249984,2777120,1,32304,569,Good,297949,3370016,Personal,2,16.6,1
50,Female,Married,0,High School,Self Employed,Private,18,266289,1020163,3,7939,803,Good,39050,1743355,Education,20,13.57,0
52,Female,Single,4,High School,Salaried,Private,7,244976,3388768,1,5645,418,Good,4803057,3099527,Personal,4,8.99,1
28,Female,Married,3,Graduate,Self Employed,Business,4,234650,1618542,4,12506,343,Good,3219094,660683,Education,11,12.91,0
30,Female,Married,4,Post Graduate,Salaried,Government,28,182155,1207714,0,38281,829,Bad,3114591,4149048,Personal,14,13.77,1
58,Female,Married,1,Post Graduate,Self Employed,Private,17,167864,946089,3,10838,508,Good,1645090,1255383,Business,20,16.43,0
52,Female,Married,2,Post Graduate,Self Employed,Government,28,101117,2763774,2,6500,892,Good,3975081,1297247,Personal,9,14.26,1
48,Male,Married,0,High School,Self Employed,Government,14,169987,671833,2,41691,741,Good,4796095,3152438,Education,6,12.32,1
37,Female,Single,5,Graduate,Self Employed,Business,30,125923,928484,2,35115,576,Good,234312,2464240,Personal,26,13.63,1
51,Female,Single,3,High School,Self Employed,Government,14,100090,509397,3,26444,565,Good,4918651,962102,Personal,20,8.47,0
28,Male,Single,2,Post Graduate,Self Employed,Government,2,204480,1574320,2,163,663,Good,763710,1613267,Home,19,9.69,1
60,Female,Single,3,High School,Salaried,Private,32,25189,541529,4,1466,647,Good,771959,1992232,Business,9,12.82,0
45,Female,Married,4,Graduate,Salaried,Business,23,127520,436904,2,37535,482,Good,1337269,4275887,Home,21,9.35,1
29,Male,Married,3,Post Graduate,Salaried,Business,23,222850,1943629,2,5484,832,Good,3002060,2520046,Home,8,17.84,1
22,Female,Married,3,High School,Salaried,Private,12,260214,3180008,0,12260,596,Good,1199048,2925613,Personal,16,13.04,1
35,Male,Single,4,Graduate,Salaried,Private,26,74305,351686,2,40000,879,Good,2654715,3785100,Education,1,8.57,1
23,Female,Single,4,High School,Self Employed,Government,32,216833,1051471,2,16063,810,Good,1020744,1919139,Business,12,17.15,1
56,Male,Single,2,High School,Self Employed,Government,18,28670,451539,1,26115,411,Good,4108518,363313,Business,4,14.8,0
24,Male,Single,0,Post Graduate,Salaried,Business,24,116746,2648428,4,25809,324,Good,2024806,1166387,Home,8,7.43,0
